Sku 2026,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,TOTAL SALES,Avg per mo,On Hand 1/1/25,Months of supply,
4560-TRF,10,10,6,5,9,,,,,,,,,,,,
4570-WHT,4,8,1,0,0,,,,,,,,,,,,
5000-002,8,9,11,7,12,,,,,,,,,,,,
5000-163,19,1,0,4,6,,,,,,,,,,,,
5020-002,5,6,5,5,1,,,,,,,,,,,,
5020-163,21,13,18,18,17,,,,,,,,,,,,
5020-166,10,0,5,4,2,,,,,,,,,,,,
6002-155,1,1,2,1,5,,,,,,,,,,,,
6002-002,0,0,4,2,2,,,,,,,,,,,,
6002-163,11,6,18,8,6,,,,,,,,,,,,
6002-165,5,5,4,3,9,,,,,,,,,,,,
NR100121-PBS-EP Julian,1,6,4,0,11,,,,,,,,,,,,
NR100122-PCS-EP Julian,6,6,18,4,11,,,,,,,,,,,,
NR100123-PBS-EP Julian,7,4,8,12,4,,,,,,,,,,,,
NR100124-PCS-EP Julian,5,17,10,14,11,,,,,,,,,,,,
NR100127-PBS-EP Julian,11,12,7,4,3,,,,,,,,,,,,
NR100128-PCS-EP Julian,16,13,11,12,22,,,,,,,,,,,,
NR100132-PCS-EP Julian,14,4,10,4,15,,,,,,,,,,,,
NR100131-PBS-EP Julian,6,7,8,3,3,,,,,,,,,,,,
NR100134-FCS-AW Zoey,41,50,40,51,62,,,,,,,,,,,,
NR100133-FBS-AW Zoey,19,5,12,5,19,,,,,,,,,,,,
NR100151-FBS-WN,4,14,12,7,5,,,,,,,,,,,,
NR100152-FCS-WN,22,23,13,10,8,,,,,,,,,,,,
NR100153-FBS-WG,23,7,12,3,11,,,,,,,,,,,,
NR100154-FCS-WG,20,16,39,25,46,,,,,,,,,,,,
NR1004PU-17MH  Chapman Universal,299,226,353,67,6,,,,,,,,,,,,
NR1004FU-18AW Chapman Universal,90,60,111,57,57,,,,,,,,,,,,
NR1004FU-20OA Chapman Universal ,0,0,5,11,8,,,,,,,,,,,,
NR1004FU-19GR Chapman Universal ,66,91,75,30,0,,,,,,,,,,,,
NR1004  Black Chapman Universal,0,0,0,,,,,,,,,,,,,,
NR1004 Caramel Chapman Universal,0,0,0,,,,,,,,,,,,,,
NR104852-FCS-HS,30,22,20,10,24,,,,,,,,,,,,
NR104854-FCS-DI,11,5,8,8,9,,,,,,,,,,,,
NR1048FC-05-AW Avery,11,14,5,20,14,,,,,,,,,,,,
NR1048FC-06-AW Avery,19,43,42,49,37,,,,,,,,,,,,
NR107162-FUN-OA  Backless Universal,10,13,77,30,59,,,,,,,,,,,,
NR107161-FUN-GR  Backless Universal,7,6,11,7,27,,,,,,,,,,,,
NR107181/182  Backless Universal,77,73,119,39,64,,,,,,,,,,,,
NR107183/184  Backless Universal,63,107,106,33,72,,,,,,,,,,,,
NR107  Black Backless Universal,0,0,0,10,22,,,,,,,,,,,,
NR107 Caramel Backless Universal,0,0,0,,,,,,,,,,,,,,
NR326708-MMT-AS,12,11,12,10,10,,,,,,,,,,,,
NR326708-MMT-BZ,45,14,2,0,0,,,,,,,,,,,,
NR326708-MMT-BLK,8,11,33,33,41,,,,,,,,,,,,
NR1105FB-01BZ  Mina,18,15,53,8,0,,,,,,,,,,,,
NR1005FC-02BZ  Mina,59,100,64,85,53,,,,,,,,,,,,
NR1108PU-02MH  Manchester,18,17,16,20,14,,,,,,,,,,,,
NR1108FU-01AW  Manchester,7,7,13,0,5,,,,,,,,,,,,
NR1101PB-01AW  Ellis,8,0,0,5,0,,,,,,,,,,,,
NR1101PC-02AW  Ellis,10,14,0,5,4,,,,,,,,,,,,
NR111801-FUN-AW  Emily,30,22,29,14,9,,,,,,,,,,,,
NR111802-FUN-GR  Emily,26,10,7,10,3,,,,,,,,,,,,
NR112701-FUN-AW Tiffany,18,10,15,2,21,,,,,,,,,,,,
NR112702-PUN-MH  Tiffany,0,4,0,2,10,,,,,,,,,,,,
NR113101-FUN-AW Charleston,6,4,2,10,22,,,,,,,,,,,,
NR113102-FUN-GR Charleston,1,4,2,10,4,,,,,,,,,,,,
NR105553-FBS-AW  Stella,0,0,0,0,0,,,,,,,,,,,,
NR105554-FCS-AW  Stella,3,2,0,0,0,,,,,,,,,,,,
NR111701-PBS-AW Pasha,0,10,1,2,6,,,,,,,,,,,,
NR111702-PCS-AW Pasha,0,4,3,2,9,,,,,,,,,,,,
NR111703-PCS-OA  Pasha,7,0,3,0,0,,,,,,,,,,,,
NR111704-PCS-OA  Pasha,0,0,0,11,11,,,,,,,,,,,,
NR105401-GBS-RW Farmhouse,4,7,0,0,2,,,,,,,,,,,,
NR105402-GCS-RW Farmhouse,9,0,0,9,15,,,,,,,,,,,,
NR105403-GBS-GR Farmhouse,0,4,0,4,0,,,,,,,,,,,,
NR105404-GCS-GR Farmhouse,7,4,0,14,14,,,,,,,,,,,,
NR113801-PBS-BR Hampton Bar,0,4,0,1,,,,,,,,,,,,,
NR113802-PCS-BR Hampton Ctr,5,0,8,5,,,,,,,,,,,,,
NR113803-PBS-WH Hampton Bar,0,5,1,0,,,,,,,,,,,,,
NR113804-PCS-WH Hampton CTR,7,0,7,9,,,,,,,,,,,,,
NR114001-PBS-BR Manhattan Bar,0,0,5,0,2,,,,,,,,,,,,
NR114002-PCS-BR Manhattan CTR,0,2,0,0,,,,,,,,,,,,,
NR114003-PBS-GR Manhattan Bar,0,0,0,0,4,,,,,,,,,,,,
NR144004-PCS-GR Manhattan CTR,0,4,4,0,15,,,,,,,,,,,,
NR101109-FCS-WO Ellis Oak Bar,0,0,0,0,6,,,,,,,,,,,,
NR101110-FBS-WO Ellis Oak CTR,0,0,0,0,40,,,,,,,,,,,,
NR115305-FBS-BK Leena Bar,0,0,0,0,,,,,,,,,,,,,
NR115306-FCS-BK Leena CTR,0,0,0,0,,,,,,,,,,,,,
NR115505-FCS-BK Hannah Bar,0,0,0,0,13,,,,,,,,,,,,
NR115506-FBS-BK Hannah CTR,0,0,0,0,,,,,,,,,,,,,
NR115605-FCS-BK Archer Bar,0,0,0,0,3,,,,,,,,,,,,
NR115606-FBS-BK Archer CTR,0,0,0,0,6,,,,,,,,,,,,
NR115751-WDC-BK Zia BLK,0,0,0,0,,,,,,,,,,,,,
NR115752-WDC-BR Zia BRN,0,0,0,0,63,,,,,,,,,,,,
NR115811-WDC-BK Archer DIN BLK,0,0,0,0,0,,,,,,,,,,,,
NR115812-WDC-BR Archer DIN BR,0,0,0,0,0,,,,,,,,,,,,
NR115351-WDC-BK Leena DIN BLK,0,0,0,0,12,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
