SKU,forecast_avg_mo,trend
2022-CHS,5.9,flat
2022-ESP,2.5,flat
2022-WHT,4.6,flat
2025-CHS,23.4,up
2025-ESP,9.1,flat
2025-WHT,22.2,flat
2026-CHS,16.0,flat
2026-ESP,7.1,flat
2026-WHT,20.3,flat
2027-CHS,11.0,flat
2027-ESP,5.2,flat
2027-WHT,12.3,flat
2029-CHS,15.8,flat
2029-ESP,6.1,down
2029-WHT,14.0,flat
2201-ESP,3.3,flat
2201-WHT,13.7,flat
2207-CHS,7.5,flat
2207-ESP,3.4,flat
2207-WHT,1.6,flat
2214-CHS,3.6,flat
2214-ESP,14.3,flat
2214-WHT,7.8,flat
2219-CHS,13.7,flat
2219-ESP,12.6,flat
2219-WHT,16.3,flat
2224-CHS,44.9,down
2224-ESP,56.2,down
2224-WHT,42.2,down
2227-CHS,27.2,flat
2227-ESP,24.2,flat
2227-WHT,18.0,flat
4560-TRF,16.7,flat
4570-WHT,25.6,flat
5000-002,42.4,flat
5000-163,26.2,flat
5000-166,17.2,flat
5010-002,4.3,flat
5010-163,12.5,up
5010-166,14.6,up
5020-002,15.0,flat
5020-163,17.8,flat
5020-166,22.7,up
5021-002,4.7,flat
5021-163,10.6,up
5021-166,4.2,flat
6002-CHS,12.9,flat
6002-ESP,13.7,flat
6002-OWB,10.1,flat
6002-WHT,7.8,flat
72079-255,0.7,flat
NR100121-PBS-EP,8.9,flat
NR100122-PCS-EP,11.9,flat
NR100123-PBS-EP,12.3,flat
NR100124-PCS-EP,13.9,flat
NR100127-PBS-EP,2.2,flat
NR100128-PCS-EP,15.6,flat
NR100131-PBS-EP,5.2,flat
NR100132-PCS-EP,11.7,flat
NR100133-FBS-AW,101.3,up
NR100134-FCS-AW,281.4,up
NR100151-FBS-WN,28.6,flat
NR100152-FCS-WN,82.8,up
NR100153-FBS-WG,39.5,flat
NR100154-FCS-WG,77.4,up
NR100431-PBS-MH,85.7,up
NR100432-PCS-MH,100.3,up
NR1004FU-18-AW,600.5,up
NR1004FU-18-AW  Chapman White,115.8,flat
NR1004FU-191/192-GR  Chapman Grey,38.6,down
NR1004FU-203/204-OA   Chapman Oak,49.8,up
NR1004PU-17-MH,346.0,up
NR1004PU-17-MH   Chapman Walnut,171.8,down
NR101054-FCS-WV,3.0,flat
NR1048-FC-06AW,129.1,up
NR1048-FC-06AW Avery,92.0,flat
NR104851-FBS-HS,20.6,flat
NR104852-FCS-HS,47.6,down
NR104853-FBS-DI,14.2,flat
NR104854-FCS-DI,39.0,flat
NR1048FB-05AW,27.3,up
NR1048FB-05AW  Avery,28.8,flat
NR104FU-18-AW,201.7,up
NR104PU-17-MH,323.7,up
NR105401-GBS-RW Farmhouse RW,1.7,flat
NR105402-GCS-RW Farmhouse RW,6.4,flat
NR105403-GBS-GR Farmhouse GR,0.0,flat
NR105404-GCS-GR Farmhouse GR,0.6,flat
NR105553-FBS-       Stella,1.3,flat
NR105554-FCS-       Stella,2.2,flat
NR107103-FBS-AW,58.4,flat
NR107104-FCS-AW,99.8,up
NR107161-FUN-GR   Backless OA,65.4,flat
NR107162-FUN-OA  Backless GR,84.3,flat
NR107181-PBS-MH,15.2,down
NR107181/182-MH,147.6,up
NR107181/182-MH  Backless Walnut,129.1,up
NR107182-PCS-MH,25.0,down
NR107183-FBS-AW,11.4,down
NR107183/184-AW,143.6,up
NR107183/184-AW  Backless White,116.1,down
NR107184-FCS-AW,83.7,up
NR1101PB-01AW,0.0,flat
NR1101PB-01AW  Ellis,1.8,flat
NR1101PC-02AW,0.0,flat
NR1101PC-02AW  Ellis,12.0,flat
NR1105FB-01BZ  Mina,34.4,up
NR1105FC-02BZ  Mina,261.8,up
NR1108FU-01AW,18.1,up
NR1108FU-01AW  Manchester,17.0,flat
NR1108PU-01MH,17.4,up
NR1108PU-01MH  Manchester,24.1,flat
NR111701-PBS-AW  Pasha AW,0.6,flat
NR111702-PCS-AW  Pasha AW,6.2,flat
NR111703-PCS-OA  Pasha OA,0.7,flat
NR111704-PCS-OA  Pasha OA,4.4,flat
NR111801-FUN-AW  Emily,12.1,flat
NR111802-FUN-GR   Emily,10.4,flat
NR112701-FUN-AW  Tiffany,19.5,up
NR112702-PUN-MH  Tiffany,8.6,flat
NR113101-FUB-AW  Charleston,3.4,flat
NR113101-FUN-AW  Charleston,19.1,flat
NR113102-FUN-GR Charleston,4.1,flat
NR223804-FSC-VS,35.7,up
NR224701-FSC-AW,16.3,up
NR224702-PSC-MH,9.0,up
NR224902-FSC-HS,1.5,flat
NR326708-MMT-AS,78.7,up
NR326708-MMT-BLK,0.7,flat
NR326708-MMT-BZ,133.5,up
U3543-05-08,1.6,flat
U3671-05-06,3.1,down
U3671-05-09,5.3,flat
U3880-04-04,10.5,up
U3880-04-09,4.8,flat
