SKU,ytd_avg_per_mo,On_Hand,Jan,Feb,Mar,Apr,May,hist_avg_per_mo,avg_2025,sell_rate,daily_rate,on_hand,days_remaining,urgency,suggested_order_qty,est_stockout_days
4560-TRF,8.0,,10,10,6,5.0,9.0,15.466666666666665,8.25,8.25,0.27102496714848884,0.0,0.0,CRITICAL,25,0.0
4570-WHT,2.6,,4,8,1,0.0,0.0,26.35,15.0,15.0,0.49277266754270693,0.0,0.0,CRITICAL,45,0.0
5000-002,9.4,,8,9,11,7.0,12.0,30.766666666666662,16.166666666666668,16.166666666666668,0.5310994305738064,0.0,0.0,CRITICAL,48,0.0
5000-163,6.0,,19,1,0,4.0,6.0,21.866666666666667,25.833333333333332,25.833333333333332,0.848664038545773,0.0,0.0,CRITICAL,78,0.0
5020-002,4.4,,5,6,5,5.0,1.0,12.383333333333335,4.0,4.0,0.1314060446780552,0.0,0.0,CRITICAL,12,0.0
5020-163,17.4,,21,13,18,18.0,17.0,15.033333333333331,9.416666666666666,9.416666666666666,0.3093517301795882,0.0,0.0,CRITICAL,28,0.0
5020-166,4.2,,10,0,5,4.0,2.0,20.7,4.5,4.5,0.1478318002628121,0.0,0.0,CRITICAL,14,0.0
6002-155,2.0,,1,1,2,1.0,5.0,,,2.0,0.0657030223390276,0.0,0.0,CRITICAL,6,0.0
6002-002,1.6,,0,0,4,2.0,2.0,,,1.6,0.052562417871222074,0.0,0.0,CRITICAL,5,0.0
6002-163,9.8,,11,6,18,8.0,6.0,,,9.8,0.3219448094612352,0.0,0.0,CRITICAL,29,0.0
6002-165,5.2,,5,5,4,3.0,9.0,,,5.2,0.17082785808147175,0.0,0.0,CRITICAL,16,0.0
NR100121-PBS-EP Julian,4.4,,1,6,4,0.0,11.0,,,4.4,0.1445466491458607,0.0,0.0,CRITICAL,13,0.0
NR100122-PCS-EP Julian,9.0,,6,6,18,4.0,11.0,,,9.0,0.2956636005256242,0.0,0.0,CRITICAL,27,0.0
NR100123-PBS-EP Julian,7.0,,7,4,8,12.0,4.0,,,7.0,0.22996057818659657,0.0,0.0,CRITICAL,21,0.0
NR100124-PCS-EP Julian,11.4,,5,17,10,14.0,11.0,,,11.4,0.3745072273324573,0.0,0.0,CRITICAL,34,0.0
NR100127-PBS-EP Julian,7.4,,11,12,7,4.0,3.0,,,7.4,0.24310118265440211,0.0,0.0,CRITICAL,22,0.0
NR100128-PCS-EP Julian,14.8,,16,13,11,12.0,22.0,,,14.8,0.48620236530880423,0.0,0.0,CRITICAL,44,0.0
NR100132-PCS-EP Julian,9.4,,14,4,10,4.0,15.0,,,9.4,0.3088042049934297,0.0,0.0,CRITICAL,28,0.0
NR100131-PBS-EP Julian,5.4,,6,7,8,3.0,3.0,,,5.4,0.1773981603153745,0.0,0.0,CRITICAL,16,0.0
NR100134-FCS-AW Zoey,48.8,,41,50,40,51.0,62.0,,,48.8,1.6031537450722733,0.0,0.0,CRITICAL,146,0.0
NR100133-FBS-AW Zoey,12.0,,19,5,12,5.0,19.0,,,12.0,0.39421813403416556,0.0,0.0,CRITICAL,36,0.0
NR100151-FBS-WN,8.4,,4,14,12,7.0,5.0,19.383333333333333,8.916666666666666,8.916666666666666,0.29292597459483133,0.0,0.0,CRITICAL,27,0.0
NR100152-FCS-WN,15.2,,22,23,13,10.0,8.0,56.26666666666667,21.916666666666668,21.916666666666668,0.7199956197985108,0.0,0.0,CRITICAL,66,0.0
NR100153-FBS-WG,11.2,,23,7,12,3.0,11.0,20.066666666666666,9.916666666666666,9.916666666666666,0.3257774857643451,0.0,0.0,CRITICAL,30,0.0
NR100154-FCS-WG,29.2,,20,16,39,25.0,46.0,49.65,24.083333333333332,24.083333333333332,0.7911738939991239,0.0,0.0,CRITICAL,72,0.0
NR1004PU-17MH  Chapman Universal,190.2,,299,226,353,67.0,6.0,,,190.2,6.248357424441524,0.0,0.0,CRITICAL,571,0.0
NR1004FU-18AW Chapman Universal,75.0,,90,60,111,57.0,57.0,,,75.0,2.463863337713535,0.0,0.0,CRITICAL,225,0.0
NR1004FU-20OA Chapman Universal,4.8,,0,0,5,11.0,8.0,,,4.8,0.15768725361366623,0.0,0.0,CRITICAL,14,0.0
NR1004FU-19GR Chapman Universal,52.4,,66,91,75,30.0,0.0,,,52.4,1.721419185282523,0.0,0.0,CRITICAL,157,0.0
NR1004  Black Chapman Universal,0.0,,0,0,0,,,,,0.0,0.0,0.0,inf,NO_MOVEMENT,0,
NR1004 Caramel Chapman Universal,0.0,,0,0,0,,,,,0.0,0.0,0.0,inf,NO_MOVEMENT,0,
NR104852-FCS-HS,21.2,,30,22,20,10.0,24.0,51.916666666666664,66.16666666666667,66.16666666666667,2.173674989049496,0.0,0.0,CRITICAL,198,0.0
NR104854-FCS-DI,8.2,,11,5,8,8.0,9.0,31.616666666666667,22.666666666666668,22.666666666666668,0.7446342531756461,0.0,0.0,CRITICAL,68,0.0
